id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46376799,StayAttache and StayJoyful in Dupont,7650266,Stay Attache,,"Dupont Circle, Connecticut Avenue/K Street",38.90891,-77.04622,Entire home/apt,116,30,0,,,115,350,0,
46377589,Capitol Hill Apartment,755980,Jennefer,,"Union Station, Stanton Park, Kingman Park",38.89746,-76.98683,Entire home/apt,130,2,8,2021-08-21,3.93,1,352,8,
46377775,MAY Special: Week or longer,19584745,Christine,,"Brightwood Park, Crestwood, Petworth",38.94749,-77.03282,Entire home/apt,125,3,0,,,1,46,0,
46396305,Cosy room for 2 in a beautiful Victorian mansion.,305689325,Swann House,,"Dupont Circle, Connecticut Avenue/K Street",38.91488,-77.03939,Private room,179,5,0,,,3,363,0,
46407965,"Entire residential home 2 BD SEDC Min MGM, Wharf",292538124,Runnold,,"Congress Heights, Bellevue, Washington Highlands",38.82408,-76.99769,Entire home/apt,111,4,8,2021-09-16,7.27,3,280,8,
46411241,StayAttache and StayJoyful in Foggy Bottom,7650266,Stay Attache,,"Dupont Circle, Connecticut Avenue/K Street",38.90362,-77.04826,Entire home/apt,127,30,0,,,115,0,0,
46412085,StayAttache and StayJoyful in Kalorama,7650266,Stay Attache,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.9173,-77.05648,Entire home/apt,231,30,0,,,115,109,0,
46412980,StayAttache and StayJoyful in Logan Circle,7650266,Stay Attache,,"Shaw, Logan Circle",38.9106,-77.02645,Entire home/apt,116,30,0,,,115,0,0,
46413150,StayAttache in Capitol Hill with Modern Style,7650266,Stay Attache,,"Capitol Hill, Lincoln Park",38.88787,-77.00099,Entire home/apt,143,30,0,,,115,292,0,
46413361,StayAttache and StayJoyful in Logan Circle,7650266,Stay Attache,,"Shaw, Logan Circle",38.91059,-77.02793,Entire home/apt,110,30,0,,,115,0,0,
46413666,StayAttache and StayJoyful in Logan Circle,7650266,Stay Attache,,"Shaw, Logan Circle",38.90587,-77.03035,Entire home/apt,153,30,0,,,115,13,0,
46413810,StayAttache in Capitol Hill Renovated Unit,7650266,Stay Attache,,"Union Station, Stanton Park, Kingman Park",38.89229,-77.00113,Entire home/apt,110,30,0,,,115,336,0,
46413864,StayAttache and StayJoyful in Logan Circle,7650266,Stay Attache,,"Shaw, Logan Circle",38.9097,-77.02971,Entire home/apt,231,30,0,,,115,0,0,
46413934,StayAttache and StayJoyful in Dupont Circle,7650266,Stay Attache,,"Dupont Circle, Connecticut Avenue/K Street",38.91397,-77.03911,Entire home/apt,110,30,1,2021-04-30,0.21,115,78,1,
46414187,StayAttache in Capitol Hill with Outdoor Space,7650266,Stay Attache,,"Capitol Hill, Lincoln Park",38.88247,-76.99171,Entire home/apt,176,30,0,,,115,365,0,
46414231,StayAttache and StayJoyful in Dupont Circle,7650266,Stay Attache,,"Dupont Circle, Connecticut Avenue/K Street",38.91212,-77.03956,Entire home/apt,138,30,0,,,115,0,0,
46414309,StayAttache and StayJoyful in Logan Circle,7650266,Stay Attache,,"Shaw, Logan Circle",38.91118,-77.03322,Entire home/apt,103,30,1,2021-04-05,0.18,115,186,1,
46414448,StayAttache and StayJoyful in Logan Circle,7650266,Stay Attache,,"Shaw, Logan Circle",38.90925,-77.033,Entire home/apt,105,30,0,,,115,254,0,
46414609,StayAttache in Dupont Circle with Spacious Deck,7650266,Stay Attache,,"Dupont Circle, Connecticut Avenue/K Street",38.91549,-77.0394,Entire home/apt,136,30,0,,,115,3,0,
46414628,StayAttache and StayJoyful in Dupont Circle,7650266,Stay Attache,,"Dupont Circle, Connecticut Avenue/K Street",38.91297,-77.03982,Entire home/apt,231,30,0,,,115,307,0,
46414810,StayAttache in Dupont Circle with Office Space,7650266,Stay Attache,,"Dupont Circle, Connecticut Avenue/K Street",38.91376,-77.036,Entire home/apt,110,30,0,,,115,0,0,
46414938,StayJoyful in Gtown,7650266,Stay Attache,,"Georgetown, Burleith/Hillandale",38.90959,-77.05523,Entire home/apt,120,30,0,,,115,365,0,
46415007,StayAttache in Capitol Hill with Unique Skylight,7650266,Stay Attache,,"Capitol Hill, Lincoln Park",38.8891,-76.99697,Entire home/apt,126,30,0,,,115,0,0,
46415024,StayAttache in Dupont Circle - Spacious Studio,7650266,Stay Attache,,"Dupont Circle, Connecticut Avenue/K Street",38.91546,-77.03848,Entire home/apt,93,30,0,,,115,270,0,
46415241,StayAttache in Dupont with Contemporary Style,7650266,Stay Attache,,"Dupont Circle, Connecticut Avenue/K Street",38.91413,-77.03565,Entire home/apt,116,30,0,,,115,1,0,
46415694,StayAttache in Capitol Hill with Private Balcony,7650266,Stay Attache,,"Union Station, Stanton Park, Kingman Park",38.8928,-76.99754,Entire home/apt,150,30,0,,,115,335,0,
46416214,StayAttache in Capitol Hill with Stylish 1 Bedroom,7650266,Stay Attache,,"Capitol Hill, Lincoln Park",38.88256,-76.99507,Entire home/apt,100,30,0,,,115,365,0,
46418162,DC Rowhome + HUGE Roofdeck & Parking ✲ 4br | 3.5ba,10532814,Kate,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93411,-77.03499,Entire home/apt,612,1,5,2021-09-12,1.19,4,308,5,
46418533,Entire Capitol Hill Rowhouse- Sleeps 6,105641265,Meghan,,"Capitol Hill, Lincoln Park",38.89033,-76.99382,Entire home/apt,180,4,1,2021-07-17,0.48,1,0,1,
46419097,Sojourn on 15th Unit #1,39930655,Team,,"Shaw, Logan Circle",38.90619,-77.03317,Entire home/apt,119,30,8,2021-06-15,1.40,147,312,8,
46419132,Sojourn on 15th Unit 3,39930655,Team,,"Dupont Circle, Connecticut Avenue/K Street",38.90744,-77.03489,Entire home/apt,119,30,1,2021-02-14,0.14,147,312,1,
46419136,Sojourn on 15th Unit 2F,39930655,Team,,"Dupont Circle, Connecticut Avenue/K Street",38.90792,-77.0353,Entire home/apt,153,30,0,,,147,317,0,
46419149,Sojourn on 15th Unit 3F,39930655,Team,,"Shaw, Logan Circle",38.90808,-77.03402,Entire home/apt,149,30,0,,,147,323,0,
46419150,Sojourn on 15th Unit PH,39930655,Team,,"Shaw, Logan Circle",38.90726,-77.03383,Entire home/apt,158,30,0,,,147,331,0,
46419342,Sojourn on 15th Unit D,39930655,Team,,"Dupont Circle, Connecticut Avenue/K Street",38.9059,-77.03462,Entire home/apt,111,30,0,,,147,316,0,
