id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating
34180366,Beautiful 1BR Apt Near Downtown Washington DC,48005494,Zeus,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90381,-77.01682,Entire home/apt,96,30,5,1/30/2021,0.27,163,257,1,,4.8
34201153,"Charming, Pet-Friendly Studio in DC + Rooftop Deck",48005494,Zeus,,"Shaw, Logan Circle",38.90794,-77.02457,Entire home/apt,102,30,5,12/21/2020,0.23,163,335,3,,4.8
34224114,Bedroom available in converted historic mansion,133299406,Mike,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92316,-77.0364,Private room,98,1,5,6/24/2019,0.17,2,0,0,,5
34227673,Vibrant Studio next to GW,1864688,Blü Properties,,"West End, Foggy Bottom, GWU",38.90422,-77.05114,Entire home/apt,103,1,90,8/29/2021,3.66,15,322,32,,4.88
34243546,Heart of Capitol Hill,258534420,Bobby,,"Capitol Hill, Lincoln Park",38.8874,-76.99173,Entire home/apt,103,2,68,8/31/2021,2.39,1,283,41,,4.9
34244419,English basement DC,44949993,Mike,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92863,-77.02238,Entire home/apt,200,700,11,7/15/2021,0.43,11,228,7,,4.18
34245387,Brooklyn Brick on MLK One Bedroom w/WIFI Roof Top,65145620,Sheryl,,"Congress Heights, Bellevue, Washington Highlands",38.84359,-77.00166,Entire home/apt,61,2,26,8/31/2021,0.91,3,63,5,,4.69
34276846,4 Levels/3 Ba Convenient! 1 or 2 year lease!,95344867,Drew,,"Cathedral Heights, McLean Gardens, Glover Park",38.91756,-77.07247,Entire home/apt,200,360,0,,,1,365,0,,
34279055,Sojourn on 5th Unit 104,39930655,Team,,"Capitol Hill, Lincoln Park",38.88274,-77.00025,Entire home/apt,151,30,4,7/3/2021,0.14,147,315,2,,5
34296434,Relax & Unwind @ a stylish city condo,12418549,Fred,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90723,-77.00925,Entire home/apt,95,20,4,6/30/2021,0.14,1,269,1,,4
34303124,Spacious & luxurious Penthouse@ Logan circle,78577135,Marco,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91494,-77.02764,Private room,130,1,23,8/22/2021,1.16,4,163,11,,4.83
34311072,*Brand New* Luxurious 1 Bed/1 Bath in Logan Circle,258648184,Michael,,"Shaw, Logan Circle",38.91204,-77.03101,Entire home/apt,154,2,164,9/16/2021,6.25,1,0,68,,4.98
34316883,Elegance and comfort steps from the U.S. Capitol,253266542,Michael,,"Capitol Hill, Lincoln Park",38.88791,-77.00093,Entire home/apt,140,1,16,3/16/2020,0.77,1,14,0,,5
34328776,Gorgeous 4 BR/3.5 BA  With All New Furnishing,259168393,Northstar,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91504,-77.02631,Entire home/apt,400,3,53,8/22/2021,1.88,1,186,19,,4.83
34333734,Apartment walking distance to H Street,178941914,Matthew,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90937,-76.98631,Entire home/apt,100,2,0,,,2,0,0,,
34352182,A District Farmhouse,253355091,Adrian,,"Friendship Heights, American University Park, Tenleytown",38.95,-77.07587,Private room,60,1,10,11/24/2019,0.45,1,0,0,,5
34358109,"Comfy, spacious room in bustling Brookland.",30647422,Linsie,,"North Michigan Park, Michigan Park, University Heights",38.93839,-76.99398,Private room,50,1,8,6/9/2019,0.29,1,0,0,,5
34365503,"Cozy, Furnished 1BR in DC, Pet-Friendly + Rooftop",48005494,Zeus,,"Shaw, Logan Circle",38.90639,-77.02508,Entire home/apt,117,30,4,7/1/2021,0.18,163,355,1,,4.75
34371286,Good looking room next to the petworth metro,315148,John,,"Brightwood Park, Crestwood, Petworth",38.93835,-77.02517,Private room,39,4,4,7/30/2021,0.15,32,279,2,,4.25
34418112,Beaux Arts Gem in Vibrant 14th Street/Logan Circle,48906471,Silbi,,"Shaw, Logan Circle",38.9122,-77.03397,Entire home/apt,240,1,22,8/9/2021,0.86,1,0,7,,5
34421531,Cozy Capitol Hill Suite ☆ On-site Parking & Patio!,6970679,Kay,,"Union Station, Stanton Park, Kingman Park",38.89835,-76.98597,Entire home/apt,79,2,83,9/16/2021,2.94,6,0,42,,4.84
34421731,Capitol Hill Bedroom for Long Term Stay,141298284,David,,"Capitol Hill, Lincoln Park",38.881,-76.9975,Private room,55,60,13,8/1/2021,4.64,3,173,6,,4.92
34422566,Trendy flat near GW University,3474736,Sam,,"West End, Foggy Bottom, GWU",38.90287,-77.05065,Entire home/apt,104,1,75,8/7/2021,5.57,6,50,24,,4.76
34449825,Amazing Modern Studio in Historic Georgetown!,167034668,Monica,,"Georgetown, Burleith/Hillandale",38.9056,-77.06106,Entire home/apt,125,2,116,9/13/2021,4.78,6,245,61,,4.96
